SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW ),Sum
38,DC:A6:32:33:AA:47,2020-07-09 16:16:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
39,DC:A6:32:33:AA:47,2020-07-09 16:16:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
40,DC:A6:32:33:AA:47,2020-07-09 16:16:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
41,DC:A6:32:33:AA:47,2020-07-09 16:16:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
42,DC:A6:32:33:AA:47,2020-07-09 16:16:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
43,DC:A6:32:33:AA:47,2020-07-09 16:16:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
44,DC:A6:32:33:AA:47,2020-07-09 16:16:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
45,DC:A6:32:33:AA:47,2020-07-09 16:16:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
46,DC:A6:32:33:AA:47,2020-07-09 16:16:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
47,DC:A6:32:33:AA:47,2020-07-09 16:16:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
48,DC:A6:32:33:AA:47,2020-07-09 16:16:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
49,DC:A6:32:33:AA:47,2020-07-09 16:16:48,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
50,DC:A6:32:33:AA:47,2020-07-09 16:16:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
51,DC:A6:32:33:AA:47,2020-07-09 16:16:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
52,DC:A6:32:33:AA:47,2020-07-09 16:16:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
53,DC:A6:32:33:AA:47,2020-07-09 16:16:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
54,DC:A6:32:33:AA:47,2020-07-09 16:16:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
55,DC:A6:32:33:AA:47,2020-07-09 16:16:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
56,DC:A6:32:33:AA:47,2020-07-09 16:16:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
57,DC:A6:32:33:AA:47,2020-07-09 16:16:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
58,DC:A6:32:33:AA:47,2020-07-09 16:16:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
59,DC:A6:32:33:AA:47,2020-07-09 16:17:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
60,DC:A6:32:33:AA:47,2020-07-09 16:17:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
61,DC:A6:32:33:AA:47,2020-07-09 16:17:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
62,DC:A6:32:33:AA:47,2020-07-09 16:17:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
63,DC:A6:32:33:AA:47,2020-07-09 16:17:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
64,DC:A6:32:33:AA:47,2020-07-09 16:17:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
65,DC:A6:32:33:AA:47,2020-07-09 16:17:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
66,DC:A6:32:33:AA:47,2020-07-09 16:17:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
67,DC:A6:32:33:AA:47,2020-07-09 16:17:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
68,DC:A6:32:33:AA:47,2020-07-09 16:17:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
69,DC:A6:32:33:AA:47,2020-07-09 16:17:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
70,DC:A6:32:33:AA:47,2020-07-09 16:17:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
71,DC:A6:32:33:AA:47,2020-07-09 16:17:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
72,DC:A6:32:33:AA:47,2020-07-09 16:17:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
73,DC:A6:32:33:AA:47,2020-07-09 16:17:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
74,DC:A6:32:33:AA:47,2020-07-09 16:17:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
75,DC:A6:32:33:AA:47,2020-07-09 16:17:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
76,DC:A6:32:33:AA:47,2020-07-09 16:17:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
77,DC:A6:32:33:AA:47,2020-07-09 16:17:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
78,DC:A6:32:33:AA:47,2020-07-09 16:17:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
79,DC:A6:32:33:AA:47,2020-07-09 16:17:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
80,DC:A6:32:33:AA:47,2020-07-09 16:17:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
81,DC:A6:32:33:AA:47,2020-07-09 16:17:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
82,DC:A6:32:33:AA:47,2020-07-09 16:17:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
