SCAN,6ft,5ft,4ft,3ft,2ft,1ft,6ft(log),5ft(log),4ft(log),3ft(log),2ft(log),1ft(log)
73,0.0004827219811,0.0003540788518,0.003895832286,0.00004292344728,0.01631516039,0.02898185513,-33.16302925,-34.50900012,-24.09399748,-43.67305406,-17.87408652,-15.37873819
74,0.0004907399564,0.0003604150357,0.00392799332,0.00002338225358,0.01650201521,0.02925362503,-33.0914858,-34.431971,-24.05829259,-46.31113634,-17.82463017,-15.3382031
75,0.0004957523809,0.0003638739762,0.004004875007,0.00003689686845,0.01670296669,0.02956339949,-33.04735191,-34.39049003,-23.97411034,-44.33010492,-17.77206385,-15.29245628
76,0.000500759179,0.0003710093574,0.004066923706,0.00002783309693,0.01703342004,0.03021246119,-33.00371081,-34.30615137,-23.90733975,-45.55438468,-17.68698144,-15.19813894
77,0.0005072827295,0.0003762013854,0.004134768907,0.00005801379764,0.01731594981,0.03085702884,-32.94749923,-34.24579609,-23.83548758,-42.36468704,-17.61553682,-15.10645894
78,0.0005142250304,0.0003817416819,0.004193182792,0.00001642248463,0.01751690129,0.03102694194,-32.88846787,-34.18230417,-23.77456205,-47.84561136,-17.56542717,-15.08261027
79,0.0005214947416,0.0003871836786,0.004277055514,0.00002997210359,0.01779291171,0.03150590353,-32.82750066,-34.12082958,-23.68855113,-45.23282775,-17.49752976,-15.01608061
80,0.0005272733242,0.0003896856366,0.004355731286,0.00003217801236,0.01798868468,0.03179806243,-32.779642,-34.09285602,-23.60938921,-44.92440786,-17.45000591,-14.97599342
81,0.0005367893675,0.0004037475645,0.004424074577,0.00005843873097,0.01818445765,0.03209164134,-32.70196095,-33.93890084,-23.54177561,-42.33299224,-17.40299647,-14.9360807
82,0.0005453241497,0.000404448036,0.00445939038,0.00004728781401,0.01837131247,0.03237951684,-32.63345269,-33.93137269,-23.50724507,-43.25250762,-17.35859816,-14.89729636
83,0.0005518832086,0.0004108322243,0.004485524357,0.00002025317362,0.01860091236,0.03267167575,-32.58152819,-33.86335499,-23.48186781,-46.93506914,-17.30465753,-14.8582859
84,0.0005576931579,0.0004139128486,0.004624943516,0.0000275828615,0.01885630676,0.03312931288,-32.53604684,-33.83091092,-23.34893567,-45.59360681,-17.24543365,-14.79787572
85,0.0005639961466,0.0004161360116,0.004701220864,0.00004988321623,0.01911170117,0.0333518312,-32.48723863,-33.807647,-23.27789345,-43.02045553,-17.18700654,-14.76880316
86,0.0005688304039,0.0004213367852,0.004766409385,0.00003730179147,0.01930747414,0.03359479478,-32.45017199,-33.75370623,-23.21808659,-44.2827031,-17.14274538,-14.73728008
87,0.0005754784331,0.0004308123017,0.004888998331,0.00005435439749,0.01954225253,0.03400952612,-32.39970948,-33.65711904,-23.10780111,-42.64765314,-17.09025379,-14.68399419
88,0.000582308203,0.0004337504322,0.004967862297,0.00004195879495,0.01971740949,0.03434870715,-32.34847092,-33.62760079,-23.03830451,-43.77176993,-17.05150144,-14.64089605
89,0.0005896734687,0.0004388056644,0.005049692838,0.0000465293218,0.01991836097,0.03465026163,-32.29388412,-33.57727775,-22.96735038,-43.32273278,-17.00746401,-14.60293482
90,0.0005968319334,0.000444450035,0.005124116199,0.00003756204583,0.02012583181,0.03508810511,-32.24147948,-33.52177055,-22.9038103,-44.25250762,-16.96246161,-14.54840085
91,0.0006026359049,0.0004482179921,0.005163658087,0.00002891059456,0.02051072808,0.03538386211,-32.19944997,-33.48510714,-22.87042522,-45.38942977,-16.88018923,-14.51194766
92,0.0006089889937,0.0004564439053,0.005192679298,0.00002809263715,0.02071167956,0.03576697418,-32.15390556,-33.40612587,-22.84608499,-45.5140749,-16.83784682,-14.46517799
93,0.0006171290316,0.0004578639951,0.005234075172,0.00004242449529,0.02083891295,0.0360264718,-32.09624023,-33.39263507,-22.81160044,-43.72383316,-16.8112494,-14.43378268
94,0.0006236744155,0.0004682721461,0.005370542702,0.00003546472635,0.02102576777,0.03637108564,-32.05042071,-33.29501674,-22.69981826,-44.50203387,-16.77248137,-14.39243736
95,0.0006297172148,0.0004698855696,0.005476504574,0.00005454021971,0.02146510696,0.03683777494,-32.00854434,-33.28007892,-22.61496545,-42.63283117,-16.68266943,-14.3370661
96,0.0006351959821,0.000472778618,0.005517900448,0.000034999026,0.02175432828,0.03749717096,-31.97092258,-33.25342173,-22.58226139,-44.55944042,-16.62454322,-14.26001497
97,0.0006443834738,0.0004801462546,0.005551362265,0.00002792887834,0.02193010284,0.03786264174,-31.90855606,-33.18626455,-22.55600431,-45.53946506,-16.58959332,-14.21789088
98,0.0006505157963,0.0004828595243,0.005620258759,0.00004522621275,0.02213105432,0.03814702242,-31.86742153,-33.16179198,-22.50243689,-43.44609779,-16.54997896,-14.18539355
99,0.0006565068327,0.0004942555567,0.005698186953,0.00001207840147,0.02230682761,0.03849885373,-31.8276075,-33.06048439,-22.44263306,-49.17990539,-16.51562189,-14.14552201
100,0.0006624395977,0.0005025114864,0.005736695593,0.00003546472635,0.02249742207,0.03872270554,-31.78853715,-32.98854007,-22.41338195,-44.50203387,-16.47867244,-14.12034306
