SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW) ,Total Sum
215,DC:A6:32:33:AA:47,2020-07-07 17:35:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
216,DC:A6:32:33:AA:47,2020-07-07 17:35:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
217,DC:A6:32:33:AA:47,2020-07-07 17:35:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
218,DC:A6:32:33:AA:47,2020-07-07 17:35:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
219,DC:A6:32:33:AA:47,2020-07-07 17:35:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
220,DC:A6:32:33:AA:47,2020-07-07 17:35:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
221,DC:A6:32:33:AA:47,2020-07-07 17:35:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
222,DC:A6:32:33:AA:47,2020-07-07 17:35:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
223,DC:A6:32:33:AA:47,2020-07-07 17:35:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
224,DC:A6:32:33:AA:47,2020-07-07 17:35:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
225,DC:A6:32:33:AA:47,2020-07-07 17:35:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
226,DC:A6:32:33:AA:47,2020-07-07 17:35:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
227,DC:A6:32:33:AA:47,2020-07-07 17:35:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
228,DC:A6:32:33:AA:47,2020-07-07 17:35:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
229,DC:A6:32:33:AA:47,2020-07-07 17:35:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
230,DC:A6:32:33:AA:47,2020-07-07 17:35:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
231,DC:A6:32:33:AA:47,2020-07-07 17:35:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
232,DC:A6:32:33:AA:47,2020-07-07 17:35:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
233,DC:A6:32:33:AA:47,2020-07-07 17:35:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
234,DC:A6:32:33:AA:47,2020-07-07 17:35:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
235,DC:A6:32:33:AA:47,2020-07-07 17:35:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
236,DC:A6:32:33:AA:47,2020-07-07 17:35:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
237,DC:A6:32:33:AA:47,2020-07-07 17:35:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
238,DC:A6:32:33:AA:47,2020-07-07 17:35:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
239,DC:A6:32:33:AA:47,2020-07-07 17:35:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
240,DC:A6:32:33:AA:47,2020-07-07 17:35:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
241,DC:A6:32:33:AA:47,2020-07-07 17:35:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
242,DC:A6:32:33:AA:47,2020-07-07 17:35:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
243,DC:A6:32:33:AA:47,2020-07-07 17:35:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
244,DC:A6:32:33:AA:47,2020-07-07 17:35:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
245,DC:A6:32:33:AA:47,2020-07-07 17:35:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
246,DC:A6:32:33:AA:47,2020-07-07 17:35:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
247,DC:A6:32:33:AA:47,2020-07-07 17:35:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
248,DC:A6:32:33:AA:47,2020-07-07 17:35:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
249,DC:A6:32:33:AA:47,2020-07-07 17:35:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
250,DC:A6:32:33:AA:47,2020-07-07 17:35:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
251,DC:A6:32:33:AA:47,2020-07-07 17:35:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
252,DC:A6:32:33:AA:47,2020-07-07 17:35:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
253,DC:A6:32:33:AA:47,2020-07-07 17:35:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
254,DC:A6:32:33:AA:47,2020-07-07 17:36:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
255,DC:A6:32:33:AA:47,2020-07-07 17:36:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
256,DC:A6:32:33:AA:47,2020-07-07 17:36:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
257,DC:A6:32:33:AA:47,2020-07-07 17:36:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
258,DC:A6:32:33:AA:47,2020-07-07 17:36:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
259,DC:A6:32:33:AA:47,2020-07-07 17:36:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
260,DC:A6:32:33:AA:47,2020-07-07 17:36:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
261,DC:A6:32:33:AA:47,2020-07-07 17:36:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
262,DC:A6:32:33:AA:47,2020-07-07 17:36:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
263,DC:A6:32:33:AA:47,2020-07-07 17:36:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
264,DC:A6:32:33:AA:47,2020-07-07 17:36:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
265,DC:A6:32:33:AA:47,2020-07-07 17:36:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
