SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
17,DC:A6:32:33:AA:47,2020-07-07 18:24:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
18,DC:A6:32:33:AA:47,2020-07-07 18:24:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
19,DC:A6:32:33:AA:47,2020-07-07 18:24:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
20,DC:A6:32:33:AA:47,2020-07-07 18:24:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
21,DC:A6:32:33:AA:47,2020-07-07 18:24:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
22,DC:A6:32:33:AA:47,2020-07-07 18:24:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
23,DC:A6:32:33:AA:47,2020-07-07 18:24:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
24,DC:A6:32:33:AA:47,2020-07-07 18:24:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
25,DC:A6:32:33:AA:47,2020-07-07 18:25:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
26,DC:A6:32:33:AA:47,2020-07-07 18:25:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
27,DC:A6:32:33:AA:47,2020-07-07 18:25:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
28,DC:A6:32:33:AA:47,2020-07-07 18:25:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
29,DC:A6:32:33:AA:47,2020-07-07 18:25:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
30,DC:A6:32:33:AA:47,2020-07-07 18:25:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
31,DC:A6:32:33:AA:47,2020-07-07 18:25:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
32,DC:A6:32:33:AA:47,2020-07-07 18:25:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
