SCAN,2ft_5,2ft_4,2ft_3,2ft_2,2ft_1,Avg,Cum Sum
349,0.0005011872336,0.0005011872336,0.0005011872336,0.0001584893192,0.0001258925412,0.0003575887122,0.08024435249
350,0.0001258925412,0.0001258925412,0.0005011872336,0.0005011872336,0.0005011872336,0.0003510693566,0.08059542185
351,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0002074708353,0.08080289269
352,0.0001584893192,0.0001258925412,0.0003981071706,0.0001258925412,0.0001584893192,0.0001933741783,0.08099626686
353,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.08112215941
354,0.0001584893192,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0001389312524,0.08126109066
355,0.0005011872336,0.0001584893192,0.0001258925412,0.0003981071706,0.0001258925412,0.0002619137612,0.08152300442
356,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.08164889696
357,0.0001584893192,0.0005011872336,0.0003981071706,0.0001258925412,0.0001258925412,0.0002619137612,0.08191081072
358,0.0003981071706,0.0005011872336,0.0005011872336,0.0001258925412,0.0001258925412,0.000330453344,0.08224126407
359,0.0005011872336,0.0001258925412,0.0003981071706,0.0001258925412,0.0001258925412,0.0002553944056,0.08249665847
360,0.0001258925412,0.0005011872336,0.0001258925412,0.0003981071706,0.0001584893192,0.0002619137612,0.08275857223
361,0.0001258925412,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0001324118968,0.08289098413
362,0.0005011872336,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0002760104182,0.08316699455
363,0.0001258925412,0.0003981071706,0.0003981071706,0.0001258925412,0.0001584893192,0.0002412977486,0.0834082923
364,0.0005011872336,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0003510693566,0.08375936165
365,0.0001258925412,0.0003981071706,0.0001258925412,0.0005011872336,0.0001258925412,0.0002553944056,0.08401475606
366,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001324118968,0.08414716796
367,0.0005011872336,0.0005011872336,0.0001258925412,0.0001,0.0001258925412,0.0002708319099,0.08441799987
368,0.0005011872336,0.0003981071706,0.0001258925412,0.0001,0.0005011872336,0.0003252748358,0.0847432747
369,0.0001584893192,0.0003981071706,0.0001258925412,0.0005011872336,0.0001258925412,0.0002619137612,0.08500518846
370,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002009514797,0.08520613994
371,0.0005011872336,0.0005011872336,0.0003981071706,0.0001,0.0001258925412,0.0003252748358,0.08553141478
372,0.0001,0.0005011872336,0.0001258925412,0.0001,0.0001258925412,0.0001905944632,0.08572200924
373,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002760104182,0.08599801966
374,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0861239122
375,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002009514797,0.08632486368
376,0.0003981071706,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002619137612,0.08658677744
377,0.0005011872336,0.0005011872336,0.0001,0.0001258925412,0.0001584893192,0.0002773512655,0.08686412871
378,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001324118968,0.0869965406
379,0.0005011872336,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0002760104182,0.08727255102
380,0.0001584893192,0.0001258925412,0.0001,0.0003981071706,0.0005011872336,0.0002567352529,0.08752928627
381,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002760104182,0.08780529669
382,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0002760104182,0.08808130711
383,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.08820719965
384,0.0005011872336,0.0001258925412,0.0005011872336,0.0005011872336,0.0001258925412,0.0003510693566,0.08855826901
385,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.08868416155
386,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0003981071706,0.0001803354671,0.08886449702
387,0.0001258925412,0.0001258925412,0.0003981071706,0.0001258925412,0.0005011872336,0.0002553944056,0.08911989142
