SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,POWER ( mW),Sum
338,DC:A6:32:33:AA:47,2020-07-07 17:24:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
339,DC:A6:32:33:AA:47,2020-07-07 17:24:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
340,DC:A6:32:33:AA:47,2020-07-07 17:24:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
341,DC:A6:32:33:AA:47,2020-07-07 17:24:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
342,DC:A6:32:33:AA:47,2020-07-07 17:25:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
343,DC:A6:32:33:AA:47,2020-07-07 17:25:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
344,DC:A6:32:33:AA:47,2020-07-07 17:25:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
345,DC:A6:32:33:AA:47,2020-07-07 17:25:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
346,DC:A6:32:33:AA:47,2020-07-07 17:25:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
347,DC:A6:32:33:AA:47,2020-07-07 17:25:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
348,DC:A6:32:33:AA:47,2020-07-07 17:25:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
349,DC:A6:32:33:AA:47,2020-07-07 17:25:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
350,DC:A6:32:33:AA:47,2020-07-07 17:25:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
351,DC:A6:32:33:AA:47,2020-07-07 17:25:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
352,DC:A6:32:33:AA:47,2020-07-07 17:25:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
353,DC:A6:32:33:AA:47,2020-07-07 17:25:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
354,DC:A6:32:33:AA:47,2020-07-07 17:25:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
355,DC:A6:32:33:AA:47,2020-07-07 17:25:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
356,DC:A6:32:33:AA:47,2020-07-07 17:25:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
357,DC:A6:32:33:AA:47,2020-07-07 17:25:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
358,DC:A6:32:33:AA:47,2020-07-07 17:25:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
359,DC:A6:32:33:AA:47,2020-07-07 17:25:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
