SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
321,DC:A6:32:33:AA:47,2020-07-07 17:47:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
322,DC:A6:32:33:AA:47,2020-07-07 17:47:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
323,DC:A6:32:33:AA:47,2020-07-07 17:47:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
324,DC:A6:32:33:AA:47,2020-07-07 17:47:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
325,DC:A6:32:33:AA:47,2020-07-07 17:47:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
326,DC:A6:32:33:AA:47,2020-07-07 17:47:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
327,DC:A6:32:33:AA:47,2020-07-07 17:47:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59,0.000001258925412,
328,DC:A6:32:33:AA:47,2020-07-07 17:47:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
329,DC:A6:32:33:AA:47,2020-07-07 17:47:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
330,DC:A6:32:33:AA:47,2020-07-07 17:47:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
331,DC:A6:32:33:AA:47,2020-07-07 17:47:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
332,DC:A6:32:33:AA:47,2020-07-07 17:47:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
333,DC:A6:32:33:AA:47,2020-07-07 17:47:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
334,DC:A6:32:33:AA:47,2020-07-07 17:48:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
335,DC:A6:32:33:AA:47,2020-07-07 17:48:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
336,DC:A6:32:33:AA:47,2020-07-07 17:48:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
337,DC:A6:32:33:AA:47,2020-07-07 17:48:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
338,DC:A6:32:33:AA:47,2020-07-07 17:48:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
339,DC:A6:32:33:AA:47,2020-07-07 17:48:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
340,DC:A6:32:33:AA:47,2020-07-07 17:48:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
341,DC:A6:32:33:AA:47,2020-07-07 17:48:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
342,DC:A6:32:33:AA:47,2020-07-07 17:48:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
343,DC:A6:32:33:AA:47,2020-07-07 17:48:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
344,DC:A6:32:33:AA:47,2020-07-07 17:48:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
345,DC:A6:32:33:AA:47,2020-07-07 17:48:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
346,DC:A6:32:33:AA:47,2020-07-07 17:48:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
347,DC:A6:32:33:AA:47,2020-07-07 17:48:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
348,DC:A6:32:33:AA:47,2020-07-07 17:48:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
349,DC:A6:32:33:AA:47,2020-07-07 17:48:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
350,DC:A6:32:33:AA:47,2020-07-07 17:48:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
351,DC:A6:32:33:AA:47,2020-07-07 17:48:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
352,DC:A6:32:33:AA:47,2020-07-07 17:48:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
353,DC:A6:32:33:AA:47,2020-07-07 17:48:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
